#,app_id,app_name,review_id,language_id,language_name,time_id,timestamp_created,timestamp_updated,recommended,votes_helpful,votes_funny,vote_score,comment_count,acquisition_id,steam_purchase,steam_gifted,written_during_beta,author_id,author_num_games_owned,author_num_reviews,author_playtime,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
3,292030,The Witcher 3: Wild Hunt,85184605,2887,english,8665,1611379970,1611379970,True,0,0,0.0,0,5001,True,False,False,765612,5,3,5587,3200,5524,1611383744
5,292030,The Witcher 3: Wild Hunt,85184171,2887,english,3550,1611379264,1611379264,True,0,0,0.0,0,5001,True,False,False,765612,11,1,823,823,823,1611379201
6,292030,The Witcher 3: Wild Hunt,85184064,2887,english,2330,1611379091,1611379091,True,0,0,0.0,0,5001,True,False,False,765612,27,2,4192,3398,4192,1611351734
9,292030,The Witcher 3: Wild Hunt,85182785,1920,spanish,3156,1611377005,1611377005,True,0,0,0.0,0,5001,True,False,False,765612,38,5,2399,333,2364,1611379080
15,292030,The Witcher 3: Wild Hunt,85180815,8453,spanish,4406,1611373708,1611373708,True,0,0,0.0,0,5001,True,False,False,765612,5,1,3586,0,3586,1609390978
18,292030,The Witcher 3: Wild Hunt,85180436,2887,english,5289,1611373086,1611373086,True,0,0,0.0,0,5001,True,False,False,765612,33,1,23329,177,23329,1611219011
20,292030,The Witcher 3: Wild Hunt,85179753,2887,english,8886,1611371978,1611371978,True,0,0,0.0,0,5001,True,False,False,765612,131,2,8557,2004,8557,1611370967
21,292030,The Witcher 3: Wild Hunt,85179400,2887,english,7604,1611371392,1611371392,True,0,0,0.0,0,5001,True,False,False,765612,60,9,2518,242,2518,1611371338
22,292030,The Witcher 3: Wild Hunt,85179341,2887,english,7732,1611371318,1611371318,True,0,0,0.0,0,5001,True,False,False,765612,59,5,553,35,517,1611373633
25,292030,The Witcher 3: Wild Hunt,85177892,2887,english,7746,1611369121,1611369121,True,0,0,0.0,0,5001,True,False,False,765612,54,1,20168,75,20092,1611373713
28,292030,The Witcher 3: Wild Hunt,85177534,1920,spanish,7968,1611368549,1611368549,True,0,0,0.0,0,5001,True,False,False,765612,175,20,3131,0,3131,1608261630
40,292030,The Witcher 3: Wild Hunt,85174737,2887,english,6681,1611364088,1611364088,True,0,0,0.0,0,5001,True,False,False,765612,111,11,8068,0,8068,1597493874
44,292030,The Witcher 3: Wild Hunt,85172993,1920,spanish,1336,1611361186,1611361186,True,0,0,0.0,0,5001,True,False,False,765612,78,10,3919,160,3919,1611279750
46,292030,The Witcher 3: Wild Hunt,85172769,2887,english,8655,1611360805,1611360805,True,0,0,0.0,0,5001,True,False,False,765612,44,7,974,537,861,1611367610
56,292030,The Witcher 3: Wild Hunt,85169788,2887,english,8721,1611356341,1611356341,True,0,0,0.0,0,5001,True,False,False,765612,25,2,930,88,930,1611059624
58,292030,The Witcher 3: Wild Hunt,85169685,2887,english,4317,1611356191,1611356191,True,0,0,0.0,0,5001,True,False,False,765612,48,1,9403,196,9236,1611378515
59,292030,The Witcher 3: Wild Hunt,85169128,2887,english,6278,1611355450,1611355450,True,0,0,0.0,0,5001,True,False,False,765612,280,13,1437,0,1437,1569254891
60,292030,The Witcher 3: Wild Hunt,85169052,2887,english,1911,1611355332,1611355332,True,0,0,0.0,0,5001,True,False,False,765612,22,4,8234,12,8234,1611353247
69,292030,The Witcher 3: Wild Hunt,85167135,2887,english,5111,1611352633,1611352633,True,0,0,0.0,0,5001,True,False,False,765612,4,1,4456,2123,4456,1611352414
72,292030,The Witcher 3: Wild Hunt,85166678,2887,english,7670,1611351974,1611351974,True,0,0,0.0,0,5001,True,False,False,765612,17,2,59008,288,59008,1611273818
74,292030,The Witcher 3: Wild Hunt,85166174,2887,english,8712,1611351215,1611351215,True,0,0,0.0,0,5001,True,False,False,765612,48,7,4573,4573,4401,1611361533
78,292030,The Witcher 3: Wild Hunt,85165440,2887,english,7136,1611350211,1611350211,True,0,0,0.0,0,5001,True,False,False,765612,4,2,5037,868,5037,1610814379
87,292030,The Witcher 3: Wild Hunt,85162932,2887,english,3476,1611346914,1611346914,True,0,0,0.0,0,5001,True,False,False,765612,4,1,12823,4367,12479,1611368348
91,292030,The Witcher 3: Wild Hunt,85162540,2887,english,2342,1611346388,1611346388,True,0,0,0.0,0,5001,True,False,False,765612,13,2,52263,176,52086,1611383048
92,292030,The Witcher 3: Wild Hunt,85161877,2887,english,5888,1611345538,1611345538,True,0,0,0.0,0,5001,True,False,False,765612,57,9,1839,1820,1630,1611376949
95,292030,The Witcher 3: Wild Hunt,85161177,2887,english,6825,1611344616,1611344616,True,0,0,0.0,0,5001,True,False,False,765612,127,3,12951,1300,12951,1611343558
98,292030,The Witcher 3: Wild Hunt,85160795,2887,english,6433,1611344113,1611344113,True,0,0,0.0,0,5001,True,False,False,765612,88,10,3358,2348,3358,1611343757
106,292030,The Witcher 3: Wild Hunt,85159609,1920,spanish,5031,1611342618,1611342618,True,0,0,0.0,0,5001,True,False,False,765612,113,9,7132,0,7132,1584338386
109,292030,The Witcher 3: Wild Hunt,85159198,2887,english,5531,1611342098,1611342098,True,0,0,0.0,0,5001,True,False,False,765612,61,2,12389,0,12389,1530733034
122,292030,The Witcher 3: Wild Hunt,85156371,2887,english,1713,1611338430,1611338430,True,0,0,0.0,0,5001,True,False,False,765612,160,4,9265,0,9265,1601073125
126,292030,The Witcher 3: Wild Hunt,85155437,2887,english,8535,1611337348,1611337348,True,0,0,0.0,0,5001,True,False,False,765612,24,2,3366,874,3366,1611006985
132,292030,The Witcher 3: Wild Hunt,85154697,1920,spanish,4757,1611336421,1611336421,True,0,0,0.0,0,5001,True,False,False,765612,90,11,4950,2698,4950,1611333504
136,292030,The Witcher 3: Wild Hunt,85154535,2887,english,3305,1611336202,1611336202,True,0,0,0.0,0,5001,True,False,False,765612,7,1,2390,2203,2386,1611336460
145,292030,The Witcher 3: Wild Hunt,85153684,2887,english,3352,1611335217,1611335217,True,0,0,0.0,0,5001,True,False,False,765612,15,1,7566,2011,7566,1611162757
154,292030,The Witcher 3: Wild Hunt,85152097,1920,spanish,2899,1611333297,1611333297,True,1,0,0.523809552,0,5001,True,False,False,765612,16,3,6688,0,6688,1608604475
155,292030,The Witcher 3: Wild Hunt,85152053,1920,spanish,5062,1611333250,1611333250,True,0,0,0.0,0,5001,True,False,False,765612,189,11,7819,0,7819,1492977526
158,292030,The Witcher 3: Wild Hunt,85151728,2887,english,4904,1611332913,1611332913,True,0,0,0.0,0,5001,True,False,False,765612,52,4,7181,1615,7180,1611377583
167,292030,The Witcher 3: Wild Hunt,85149311,2887,english,6571,1611330020,1611330020,True,0,0,0.0,0,5001,True,False,False,765612,17,2,1018,1018,806,1611387058
181,292030,The Witcher 3: Wild Hunt,85146651,1920,spanish,1493,1611326880,1611326880,True,0,0,0.0,0,5001,True,False,False,765612,25,1,5026,0,5026,1601315894
182,292030,The Witcher 3: Wild Hunt,85146476,1920,spanish,6234,1611326677,1611326677,True,0,0,0.0,0,5001,True,False,False,765612,146,1,1556,1554,1535,1611328474
187,292030,The Witcher 3: Wild Hunt,85146001,2887,english,5161,1611326108,1611326108,True,0,0,0.0,0,5001,True,False,False,765612,178,27,8172,0,8172,1609931447
197,292030,The Witcher 3: Wild Hunt,85144827,2887,english,5300,1611324720,1611325072,True,0,0,0.0,0,5001,True,False,False,765612,22,4,40800,15,40800,1611138414
201,292030,The Witcher 3: Wild Hunt,85144282,2887,english,7366,1611323968,1611323968,True,0,0,0.0,0,5001,True,False,False,765612,12,2,11095,0,11095,1602213242
205,292030,The Witcher 3: Wild Hunt,85143427,1920,spanish,7377,1611322848,1611322848,True,0,0,0.0,0,5001,True,False,False,765612,4,1,6502,2364,6334,1611368314
207,292030,The Witcher 3: Wild Hunt,85143108,2887,english,1138,1611322462,1611322462,True,0,0,0.0,0,5001,True,False,False,765612,5,1,2084,1523,1988,1611328285
210,292030,The Witcher 3: Wild Hunt,85142937,2887,english,4365,1611322256,1611322256,True,0,0,0.0,0,5001,True,False,False,765612,25,16,3944,3201,3944,1611321145
